insider_name,relationship,security_designation,issuer_name,ticker,transaction_id,transaction_date,filing_date,ownership_type,nature_of_transaction,number_of_securities,unit_price,balance
"Fray, Steve",5 - Senior Officer of Issuer,Rights Restricted Share Units (Common Shares),Abaxx Technologies Inc.,36N.F,4430402,2025-01-01,2025-01-06,Direct Ownership :,56 - Grant of rights,45475,1,80528
"Feingold, Robert Matthew",4 - Director of Issuer,Deferred Share Units (Common Shares),Aimia Inc.,GA7.F,4426110,2025-01-01,2025-01-02,Direct Ownership :,56 - Grant of rights,9099,1,65310
"Finke, Thomas Michael","7 - Director or Senior Officer of Insider or Subsidiary of Issuer (other than in 4,5,6)",Deferred Share Units (Common Shares),Aimia Inc.,GA7.F,4426107,2025-01-01,2025-01-02,Direct Ownership :,56 - Grant of rights,25862,1,97479
"Habgood, Linda",4 - Director of Issuer,Deferred Share Units (Common Shares),Aimia Inc.,GA7.F,4426111,2025-01-01,2025-01-02,Direct Ownership :,56 - Grant of rights,8620,1,107970
"Little, Thomas (Tom)",4 - Director of Issuer,Deferred Share Units (Common Shares),Aimia Inc.,GA7.F,4426112,2025-01-01,2025-01-02,Direct Ownership :,56 - Grant of rights,19396,1,97157
"Scarlett, James",4 - Director of Issuer,Deferred Share Units (Common Shares),Aimia Inc.,GA7.F,4426113,2025-01-01,2025-01-02,Direct Ownership :,56 - Grant of rights,19253,1,108095
"Seemab, Muhammad Asif",4 - Director of Issuer,Deferred Share Units (Common Shares),Aimia Inc.,GA7.F,4426114,2025-01-01,2025-01-02,Direct Ownership :,56 - Grant of rights,15266,1,35674
"Skoufalos, Ioannis (Yannis)",4 - Director of Issuer,Deferred Share Units (Common Shares),Aimia Inc.,GA7.F,4426116,2025-01-01,2025-01-02,Direct Ownership :,56 - Grant of rights,7950,1,61709
"Teramo, Jordan Gregg",4 - Director of Issuer,Deferred Share Units (Common Shares),Aimia Inc.,GA7.F,4426119,2025-01-01,2025-01-02,Direct Ownership :,56 - Grant of rights,12979,1,196162
"Blasutti, Darren John",5 - Senior Officer of Issuer,Rights Restricted Share Units (Common Shares),Americas Gold and Silver Corporation,USAS,4431037,2025-01-01,2025-01-06,Direct Ownership :,56 - Grant of rights,500000,1,653897
"Doolin, Michael Benjamin Jr.",5 - Senior Officer of Issuer,Rights Restricted Share Units (Common Shares),Americas Gold and Silver Corporation,USAS,4431353,2025-01-01,2025-01-06,Direct Ownership :,56 - Grant of rights,2750000,1,2750000
